"No.","Time","Source","Destination","Protocol","Length","Info"
"137","66.228338749","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=2681 Win=65152 Len=0 TSval=2015074680 TSecr=3857256934"
"138","67.231414111","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=2681 Ack=1 Win=64256 Len=40 TSval=3857257938 TSecr=2015074680"
"139","67.231520486","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=2721 Win=65152 Len=0 TSval=2015075683 TSecr=3857257938"
"140","68.235451688","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=2721 Ack=1 Win=64256 Len=40 TSval=3857258941 TSecr=2015075683"
"141","68.235583480","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=2761 Win=65152 Len=0 TSval=2015076687 TSecr=3857258941"
"142","69.239711891","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=2761 Ack=1 Win=64256 Len=40 TSval=3857259946 TSecr=2015076687"
"143","69.239998726","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=2801 Win=65152 Len=0 TSval=2015077691 TSecr=3857259946"
"144","70.243032966","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=2801 Ack=1 Win=64256 Len=40 TSval=3857260949 TSecr=2015077691"
"145","70.243163217","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=2841 Win=65152 Len=0 TSval=2015078695 TSecr=3857260949"
"146","71.245251745","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=2841 Ack=1 Win=64256 Len=40 TSval=3857261951 TSecr=2015078695"
"147","71.245384162","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=2881 Win=65152 Len=0 TSval=2015079697 TSecr=3857261951"
"148","72.246708479","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=2881 Ack=1 Win=64256 Len=40 TSval=3857262952 TSecr=2015079697"
"149","72.246800937","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=2921 Win=65152 Len=0 TSval=2015080698 TSecr=3857262952"
"150","73.249120760","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=2921 Ack=1 Win=64256 Len=40 TSval=3857263955 TSecr=2015080698"
"151","73.249167677","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=2961 Win=65152 Len=0 TSval=2015081701 TSecr=3857263955"
"152","74.253318176","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=2961 Ack=1 Win=64256 Len=40 TSval=3857264959 TSecr=2015081701"
"153","74.253432344","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=3001 Win=65152 Len=0 TSval=2015082705 TSecr=3857264959"
"154","75.254861497","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=3001 Ack=1 Win=64256 Len=40 TSval=3857265960 TSecr=2015082705"
"155","75.254997122","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=3041 Win=65152 Len=0 TSval=2015083707 TSecr=3857265960"
"156","76.258985498","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=3041 Ack=1 Win=64256 Len=40 TSval=3857266964 TSecr=2015083707"
"157","76.259114748","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=3081 Win=65152 Len=0 TSval=2015084711 TSecr=3857266964"
"158","77.261087448","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=3081 Ack=1 Win=64256 Len=40 TSval=3857267967 TSecr=2015084711"
"159","77.261149115","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=3121 Win=65152 Len=0 TSval=2015085713 TSecr=3857267967"
"160","78.262670521","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=3121 Ack=1 Win=64256 Len=40 TSval=3857268968 TSecr=2015085713"
"161","78.262715146","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=3161 Win=65152 Len=0 TSval=2015086714 TSecr=3857268968"
"162","79.264951182","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=3161 Ack=1 Win=64256 Len=40 TSval=3857269970 TSecr=2015086714"
"163","79.265064516","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=3201 Win=65152 Len=0 TSval=2015087717 TSecr=3857269970"
"164","80.267070468","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=3201 Ack=1 Win=64256 Len=40 TSval=3857270972 TSecr=2015087717"
"165","80.267176635","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=3241 Win=65152 Len=0 TSval=2015088719 TSecr=3857270972"
"166","81.270973472","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=3241 Ack=1 Win=64256 Len=40 TSval=3857271976 TSecr=2015088719"
"167","81.271088056","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=3281 Win=65152 Len=0 TSval=2015089723 TSecr=3857271976"
"168","82.273611720","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=3281 Ack=1 Win=64256 Len=40 TSval=3857272979 TSecr=2015089723"
"169","82.273686762","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=3321 Win=65152 Len=0 TSval=2015090725 TSecr=3857272979"
"170","83.275672342","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=3321 Ack=1 Win=64256 Len=40 TSval=3857273980 TSecr=2015090725"
"171","83.275773217","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=3361 Win=65152 Len=0 TSval=2015091727 TSecr=3857273980"
"172","84.279376097","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=3361 Ack=1 Win=64256 Len=40 TSval=3857274984 TSecr=2015091727"
"173","84.279510931","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=3401 Win=65152 Len=0 TSval=2015092731 TSecr=3857274984"
"174","85.283319771","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=3401 Ack=1 Win=64256 Len=40 TSval=3857275988 TSecr=2015092731"
"175","85.283471064","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=3441 Win=65152 Len=0 TSval=2015093735 TSecr=3857275988"
"176","86.285066893","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=3441 Ack=1 Win=64256 Len=40 TSval=3857276989 TSecr=2015093735"
"177","86.285193602","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=3481 Win=65152 Len=0 TSval=2015094737 TSecr=3857276989"
"178","87.288883318","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=3481 Ack=1 Win=64256 Len=40 TSval=3857277993 TSecr=2015094737"
"179","87.289011236","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=3521 Win=65152 Len=0 TSval=2015095741 TSecr=3857277993"
